"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-04 ~ 2026-04-03"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"75","서울특별시 강남구 삼성동","142-7","0142","0007","LG선릉에클라트(A)","36.1600","202603","02","41,800","-","6","개인","개인","2003","선릉로100길 42","-","중개거래","서울 강남구","-"
"76","서울특별시 강남구 도곡동","953-1","0953","0001","SK허브프리모","67.5700","202603","01","109,500","-","15","개인","개인","2006","강남대로 240","-","중개거래","서울 강남구","-"
"77","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","59.9300","202602","28","157,000","-","6","개인","개인","2015","자곡로3길 21","-","중개거래","서울 강남구","-"
"78","서울특별시 강남구 역삼동","656-31","0656","0031","역삼엔스위트102동","90.1500","202602","28","110,000","-","7","개인","개인","2005","언주로103길 14","-","중개거래","서울 강남구, 서울 서초구","-"
"79","서울특별시 강남구 역삼동","778-5","0778","0005","쎄비앙102동","109.3500","202602","28","148,000","-","3","개인","개인","2007","역삼로34길 25","-","중개거래","서울 강남구","-"
"80","서울특별시 강남구 청담동","43","0043","0000","청담우방아파트","84.9100","202602","28","255,000","-","14","개인","개인","1999","학동로 409","-","중개거래","서울 강남구","-"
"81","서울특별시 강남구 개포동","1284","1284","0000","개포자이프레지던스","59.9751","202602","28","307,000","-","21","개인","개인","2023","삼성로 14","-","중개거래","서울 강남구","-"
"82","서울특별시 강남구 신사동","632","0632","0000","압구정하이츠파크","184.0200","202602","28","633,000","-","17","개인","개인","2004","압구정로42길 78","-","중개거래","서울 강남구","-"
"83","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","101.9400","202602","28","240,000","-","10","개인","개인","2014","자곡로 101","-","중개거래","서울 강남구","-"
"84","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","91.9600","202602","28","217,000","-","10","개인","개인","2014","자곡로 101","-","중개거래","서울 강남구","-"
"85","서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.5300","202602","27","175,000","-","4","개인","개인","1992","개포로109길 9","-","중개거래","서울 강남구","-"
"86","서울특별시 강남구 역삼동","720-25","0720","0025","대우디오빌","59.1450","202602","27","63,000","-","5","개인","개인","2002","언주로 427","-","중개거래","서울 강남구","-"
"87","서울특별시 강남구 압구정동","434","0434","0000","신현대12차","107.1600","202602","27","638,000","-","2","개인","개인","1982","압구정로 151","-","중개거래","서울 강남구","-"
"88","서울특별시 강남구 청담동","43","0043","0000","청담우방아파트","118.5300","202602","26","267,000","-","13","개인","개인","1999","학동로 409","-","중개거래","서울 강남구","-"
"89","서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","121.7400","202602","26","548,000","-","22","개인","개인","2005","선릉로 206","-","중개거래","서울 강남구","-"
"90","서울특별시 강남구 역삼동","706-20","0706","0020","한화진넥스빌","43.5800","202602","26","48,500","-","25","개인","개인","2001","언주로86길 11","-","중개거래","서울 강남구","-"
"91","서울특별시 강남구 일원동","741","0741","0000","래미안 개포 루체하임","59.9900","202602","26","270,000","112","7","개인","개인","2018","개포로110길 50","-","중개거래","서울 강남구","26.03.20"
"92","서울특별시 강남구 수서동","746","0746","0000","까치마을","39.6000","202602","25","155,700","-","4","개인","개인","1993","광평로19길 10","-","중개거래","서울 도봉구","-"
